episode,timestep,reward
5,1000,-46.2575
10,2000,-41.7182
15,3000,-42.271
20,4000,-48.9296
25,5000,-49.8184
30,6000,-56.9106
35,7000,-46.2443
40,8000,-52.4065
46,9000,-38.5634
51,10000,-38.4166
57,11000,-43.206
62,12000,-45.4008
68,13000,-39.0431
73,14000,-43.8453
78,15000,-37.2832
83,16000,-43.4811
88,17000,-40.154
93,18000,-122.7159
99,19000,-139.8328
105,20000,-133.4815
111,21000,-41.4329
116,22000,-71.7899
121,23000,-74.8345
127,24000,-135.8014
132,25000,-119.1407
138,26000,-136.0264
143,27000,-77.9947
149,28000,-137.4162
154,29000,-78.6399
160,30000,-90.4367
165,31000,-152.801
171,32000,-131.4445
177,33000,-94.1181
183,34000,-178.2225
190,35000,-145.518
195,36000,-35.7331
201,37000,-102.5895
206,38000,-82.8629
211,39000,-157.2481
218,40000,-208.8502
224,41000,-61.3065
229,42000,-110.9562
236,43000,-125.7767
242,44000,-69.5707
248,45000,-99.5703
253,46000,-152.1854
259,47000,-104.9614
264,48000,-157.7579
270,49000,-159.7426
276,50000,-102.4276
282,51000,-96.5833
288,52000,-134.8871
293,53000,-115.7305
299,54000,-132.9796
305,55000,-148.867
311,56000,-102.3922
317,57000,-204.1802
323,58000,-116.8549
329,59000,-172.641
335,60000,-108.2757
341,61000,-131.9819
346,62000,-72.1843
352,63000,-107.6642
357,64000,-162.1623
363,65000,-115.1064
369,66000,-107.249
374,67000,-115.5911
380,68000,-97.4118
386,69000,-102.2781
391,70000,-67.0861
397,71000,-70.3883
401,72000,-90.4916
407,73000,-132.7462
412,74000,-122.5101
418,75000,-101.3169
423,76000,-111.8214
428,77000,-50.4461
434,78000,-103.254
439,79000,-128.261
445,80000,-169.2061
450,81000,-82.0612
456,82000,-131.8821
462,83000,-72.027
467,84000,-81.4745
473,85000,-174.4123
478,86000,-123.8866
484,87000,-98.9913
489,88000,-119.9462
495,89000,-79.5158
