episode,timestep,reward
4,1000,-46.2167
9,2000,-45.8483
14,3000,-42.3352
19,4000,-49.0115
24,5000,-41.8015
29,6000,-50.9236
34,7000,-44.4422
39,8000,-44.3559
44,9000,-39.1738
49,10000,-39.7985
54,11000,-39.0211
60,12000,-39.8024
65,13000,-40.1743
70,14000,-42.0262
75,15000,-43.4556
80,16000,-35.744
86,17000,-39.8189
91,18000,-39.0046
96,19000,-41.5056
101,20000,-42.4471
106,21000,-43.7667
111,22000,-55.3658
117,23000,-32.3215
122,24000,-41.259
127,25000,-36.9742
132,26000,-37.3599
138,27000,-37.8067
143,28000,-35.9852
148,29000,-42.0588
153,30000,-41.2907
159,31000,-39.4866
164,32000,-44.7334
168,33000,-41.7367
174,34000,-38.5743
180,35000,-40.2593
185,36000,-35.2316
189,37000,-41.0999
195,38000,-38.2021
200,39000,-39.6653
206,40000,-37.7129
211,41000,-44.1774
216,42000,-45.0112
221,43000,-36.8288
226,44000,-43.9838
231,45000,-44.2229
236,46000,-38.4512
241,47000,-43.903
246,48000,-46.7933
251,49000,-42.781
257,50000,-32.7742
263,51000,-34.9714
268,52000,-40.7886
273,53000,-44.5323
278,54000,-43.137
283,55000,-45.0785
288,56000,-32.165
293,57000,-37.2926
298,58000,-37.3597
303,59000,-47.1269
308,60000,-44.5141
312,61000,-49.1675
318,62000,-37.5034
322,63000,-45.4991
328,64000,-34.3568
332,65000,-55.2028
338,66000,-38.0589
343,67000,-39.4595
348,68000,-44.969
353,69000,-43.2523
358,70000,-40.8218
363,71000,-44.748
368,72000,-40.6424
373,73000,-43.5127
378,74000,-42.252
382,75000,-50.1552
386,76000,-51.0744
391,77000,-45.4072
396,78000,-46.8163
401,79000,-40.7193
406,80000,-39.3746
411,81000,-38.3932
416,82000,-41.4949
422,83000,-38.6074
427,84000,-34.7859
432,85000,-40.0169
436,86000,-44.1296
441,87000,-42.8572
446,88000,-41.2429
451,89000,-49.7478
456,90000,-46.8131
461,91000,-44.2021
466,92000,-36.933
471,93000,-42.8739
477,94000,-39.8694
482,95000,-36.3652
487,96000,-39.9895
491,97000,-45.8129
497,98000,-40.881
502,99000,-40.8016
506,100000,-45.0625
