episode,timestep,reward
4,800,-212.0287
8,1600,-124.5868
12,2400,-151.5244
17,3200,-180.9734
21,4000,-217.9758
24,4800,-183.3566
28,5600,-211.663
32,6400,-169.8724
36,7200,-234.131
40,8000,-183.2673
44,8800,-228.9352
49,9600,-180.5369
53,10400,-177.8498
57,11200,-254.7395
61,12000,-188.5987
65,12800,-182.7958
69,13600,-241.0736
73,14400,-192.3914
77,15200,-222.8777
81,16000,-199.7227
85,16800,-117.8538
89,17600,-127.0444
93,18400,-161.1032
98,19200,-135.8542
101,20000,-149.5061
106,20800,-103.9417
110,21600,-108.6089
114,22400,-120.1788
119,23200,-99.7735
122,24000,-117.0513
126,24800,-129.4697
131,25600,-116.0279
135,26400,-120.8314
139,27200,-116.3064
143,28000,-136.1343
147,28800,-133.5797
152,29600,-197.4898
156,30400,-181.2286
160,31200,-159.9675
164,32000,-197.2345
168,32800,-151.7358
173,33600,-111.8189
177,34400,-120.4218
181,35200,-143.3025
186,36000,-134.9783
190,36800,-175.0762
195,37600,-202.5342
199,38400,-171.4817
203,39200,-150.8169
207,40000,-184.7545
211,40800,-207.8696
214,41600,-214.7189
219,42400,-246.2537
223,43200,-163.3319
227,44000,-215.101
231,44800,-167.2565
235,45600,-149.5109
239,46400,-198.9471
242,47200,-160.594
246,48000,-144.5151
251,48800,-128.6596
255,49600,-96.8464
259,50400,-122.3266
263,51200,-119.6505
267,52000,-104.3083
272,52800,-138.1517
276,53600,-166.7994
280,54400,-140.4511
284,55200,-133.9997
289,56000,-134.6038
294,56800,-101.0526
298,57600,-134.6755
301,58400,-159.1641
306,59200,-138.4559
310,60000,-146.0241
314,60800,-139.8029
318,61600,-131.9199
323,62400,-129.2455
327,63200,-140.9737
331,64000,-215.2298
335,64800,-203.2699
339,65600,-179.9104
343,66400,-202.5637
347,67200,-253.0727
351,68000,-293.1304
355,68800,-314.2359
359,69600,-253.4096
363,70400,-263.812
366,71200,-269.9779
371,72000,-268.6761
375,72800,-213.4783
379,73600,-293.4548
383,74400,-275.2028
387,75200,-263.6848
390,76000,-300.4679
395,76800,-257.883
399,77600,-282.4539
402,78400,-299.8476
406,79200,-290.6362
410,80000,-336.3217
414,80800,-301.5204
418,81600,-378.1783
422,82400,-241.39
426,83200,-283.284
430,84000,-321.3212
434,84800,-353.648
439,85600,-282.6545
443,86400,-365.0529
448,87200,-308.4625
452,88000,-345.5397
457,88800,-327.8983
461,89600,-339.5678
