episode,timestep,reward
2,1000,-156.8652
5,2000,-122.7635
7,3000,-205.9431
9,4000,-251.1519
12,5000,-175.9868
15,6000,-95.0122
17,7000,-79.4524
20,8000,-98.7116
22,9000,-104.6786
25,10000,-93.2986
27,11000,-93.5463
30,12000,-100.2699
32,13000,-102.9759
35,14000,-85.0095
37,15000,-85.5037
40,16000,-96.896
42,17000,-217.9217
44,18000,-97.654
47,19000,-98.9823
49,20000,-95.8505
52,21000,-98.3626
54,22000,-68.9262
57,23000,-79.335
59,24000,-115.8761
62,25000,-79.989
65,26000,-138.8515
67,27000,-79.6486
70,28000,-149.0184
73,29000,-130.0326
76,30000,-84.083
78,31000,-80.9078
81,32000,-116.1115
83,33000,-83.6923
86,34000,-74.9584
89,35000,-103.4985
92,36000,-134.6479
94,37000,-88.2772
97,38000,-85.9956
100,39000,-226.3918
103,40000,-205.3614
106,41000,-77.228
109,42000,-84.1715
111,43000,-129.7196
113,44000,-87.558
116,45000,-113.5112
119,46000,-131.1638
122,47000,-153.186
125,48000,-83.0792
127,49000,-180.4516
129,50000,-93.5517
132,51000,-73.5515
134,52000,-66.9459
137,53000,-80.8333
140,54000,-78.9658
142,55000,-91.8604
145,56000,-219.3726
148,57000,-164.0383
150,58000,-170.4093
153,59000,-147.6134
156,60000,-209.4756
158,61000,-63.9409
161,62000,-76.013
164,63000,-69.6492
166,64000,-85.415
169,65000,-73.2198
172,66000,-152.1002
175,67000,-144.8448
178,68000,-220.8665
181,69000,-154.1355
183,70000,-73.0438
186,71000,-98.32
188,72000,-69.8555
191,73000,-57.5657
193,74000,-76.6449
196,75000,-60.6788
200,76000,-133.3051
203,77000,-131.6328
206,78000,-197.7094
210,79000,-209.4543
212,80000,-177.2848
215,81000,-66.387
217,82000,-96.6091
220,83000,-49.525
222,84000,-50.5852
225,85000,-49.6003
227,86000,-193.6826
230,87000,-85.6992
233,88000,-140.072
237,89000,-214.5081
240,90000,-268.7313
242,91000,-67.4434
245,92000,-53.7723
248,93000,-96.0107
251,94000,-73.8877
253,95000,-73.052
256,96000,-207.3412
260,97000,-214.3952
262,98000,-73.262
265,99000,-213.9538
269,100000,-205.7756
