episode,timestep,reward
2,1000,-226.8129
5,2000,-173.6035
7,3000,-167.9983
10,4000,-128.6454
12,5000,-135.9829
14,6000,-149.6085
17,7000,-122.0924
20,8000,-112.2422
22,9000,-143.9492
24,10000,-106.3536
27,11000,-127.2373
29,12000,-146.7948
32,13000,-140.1552
34,14000,-148.7394
37,15000,-182.0151
40,16000,-157.1141
43,17000,-132.5296
45,18000,-135.6796
48,19000,-208.699
50,20000,-82.5158
53,21000,-202.1022
56,22000,-284.3321
58,23000,-197.7433
61,24000,-233.0136
63,25000,-127.9784
66,26000,-121.9568
69,27000,-128.5536
72,28000,-107.5917
74,29000,-111.3755
77,30000,-116.7369
80,31000,-127.1989
83,32000,-106.0809
85,33000,-122.2952
88,34000,-157.1887
90,35000,-127.1119
93,36000,-246.0477
95,37000,-220.7057
98,38000,-306.5998
100,39000,-227.6828
103,40000,-277.3378
106,41000,-166.1163
108,42000,-220.8148
111,43000,-171.9923
113,44000,-182.7622
116,45000,-180.9558
118,46000,-262.4751
121,47000,-235.0766
123,48000,-189.1721
126,49000,-259.4236
