episode,timestep,reward
5,1000,-85.0825
10,2000,-64.0654
15,3000,-103.4559
20,4000,-82.0768
25,5000,-63.0073
30,6000,-66.1969
34,7000,-57.3777
39,8000,-56.5157
45,9000,-49.7145
50,10000,-61.964
55,11000,-46.142
60,12000,-47.7326
66,13000,-47.5114
71,14000,-48.3717
75,15000,-44.9573
80,16000,-52.7986
85,17000,-48.4843
90,18000,-48.8378
95,19000,-44.3148
101,20000,-47.2305
106,21000,-53.8529
111,22000,-52.7302
117,23000,-49.5475
122,24000,-48.7597
127,25000,-54.757
132,26000,-53.0814
138,27000,-41.2354
