episode,timestep,reward
4,800,-170.481
8,1600,-170.7752
12,2400,-221.772
16,3200,-197.702
19,4000,-256.371
23,4800,-129.5718
27,5600,-123.8187
31,6400,-107.5692
35,7200,-106.812
39,8000,-123.2208
43,8800,-118.8997
48,9600,-142.8309
52,10400,-104.3738
57,11200,-123.757
61,12000,-108.64
65,12800,-95.4052
69,13600,-121.1043
73,14400,-98.1621
77,15200,-105.9142
81,16000,-83.0059
85,16800,-118.1746
90,17600,-105.3834
94,18400,-99.7905
98,19200,-106.5576
103,20000,-93.2376
108,20800,-104.5339
112,21600,-107.4559
116,22400,-106.0157
120,23200,-88.0637
124,24000,-114.6519
129,24800,-97.823
133,25600,-112.2097
136,26400,-112.4423
140,27200,-99.9924
144,28000,-118.0495
149,28800,-105.2924
153,29600,-95.6122
157,30400,-99.4005
161,31200,-98.2651
165,32000,-107.3054
169,32800,-100.7921
173,33600,-105.2226
177,34400,-121.2614
181,35200,-113.2706
185,36000,-93.382
190,36800,-92.2815
194,37600,-110.3971
199,38400,-92.3438
203,39200,-114.5146
206,40000,-102.4152
210,40800,-104.8823
214,41600,-121.284
218,42400,-105.8918
223,43200,-99.1984
227,44000,-105.3876
231,44800,-135.1704
235,45600,-103.1836
239,46400,-108.9336
243,47200,-110.6486
247,48000,-104.9376
251,48800,-115.6536
255,49600,-114.0241
259,50400,-122.7423
263,51200,-90.9782
267,52000,-97.0302
271,52800,-92.4792
276,53600,-86.6265
280,54400,-94.0726
284,55200,-103.5163
288,56000,-127.5566
292,56800,-108.1392
295,57600,-122.0404
300,58400,-98.2573
304,59200,-120.3544
308,60000,-105.7891
312,60800,-109.8611
316,61600,-112.5988
320,62400,-98.5218
324,63200,-132.013
329,64000,-107.1247
332,64800,-128.4154
336,65600,-135.0375
340,66400,-100.3757
344,67200,-103.9419
349,68000,-107.9654
352,68800,-131.7848
356,69600,-123.6675
360,70400,-95.617
364,71200,-115.3001
369,72000,-103.017
373,72800,-98.0544
377,73600,-119.4084
381,74400,-126.8512
385,75200,-106.8293
389,76000,-108.309
393,76800,-109.6957
396,77600,-130.6508
401,78400,-95.9111
405,79200,-112.5353
409,80000,-114.2643
413,80800,-97.0734
418,81600,-90.5112
422,82400,-94.0433
426,83200,-99.1493
430,84000,-124.3497
435,84800,-110.4823
439,85600,-107.4681
442,86400,-127.3577
446,87200,-116.0087
449,88000,-136.3708
454,88800,-112.4203
458,89600,-96.2883
463,90400,-98.5777
468,91200,-105.334
473,92000,-95.0067
477,92800,-111.8146
481,93600,-130.6888
486,94400,-98.9708
489,95200,-108.1929
493,96000,-111.3122
497,96800,-123.8648
502,97600,-91.9147
506,98400,-134.0796
510,99200,-124.2605
514,100000,-102.2537
