episode,timestep,reward
1,1000,-438.1655
3,2000,-454.8249
4,3000,-455.1881
7,4000,-339.7472
9,5000,-434.187
10,6000,-468.7471
12,7000,-385.025
13,8000,-514.1892
15,9000,-355.2567
17,10000,-419.709
18,11000,-323.8254
20,12000,-310.6628
22,13000,-345.8598
23,14000,-434.8599
25,15000,-281.0847
27,16000,-392.8186
28,17000,-371.342
30,18000,-430.5578
32,19000,-410.3391
34,20000,-193.6664
36,21000,-804.9842
38,22000,-1132.7499
40,23000,-705.7157
41,24000,-841.4372
43,25000,-965.524
45,26000,-1025.7839
47,27000,-1403.5779
48,28000,-980.184
50,29000,-1335.04
52,30000,-1263.2736
53,31000,-1743.9576
55,32000,-1876.9091
57,33000,-823.4604
59,34000,-861.8651
61,35000,-1841.1139
62,36000,-1220.2514
64,37000,-829.5645
66,38000,-963.8396
68,39000,-1114.2165
70,40000,-908.1368
72,41000,-753.9532
74,42000,-232.5386
75,43000,-338.7937
77,44000,-335.8205
79,45000,-332.6837
80,46000,-306.9246
82,47000,-256.9282
84,48000,-316.6478
86,49000,-388.6197
88,50000,-314.521
89,51000,-479.1578
91,52000,-260.8621
93,53000,-364.033
95,54000,-301.8269
96,55000,-305.3607
98,56000,-355.1331
100,57000,-345.9605
102,58000,-298.9389
104,59000,-377.1178
106,60000,-281.1842
108,61000,-306.7155
109,62000,-339.9739
111,63000,-229.4154
113,64000,-336.9973
114,65000,-395.5068
116,66000,-525.9161
118,67000,-952.4463
119,68000,-1591.5158
121,69000,-1290.9534
123,70000,-1410.4616
125,71000,-786.871
126,72000,-488.8109
128,73000,-494.1718
130,74000,-544.9774
132,75000,-816.8623
133,76000,-780.6371
135,77000,-557.8823
137,78000,-444.5995
139,79000,-605.6385
141,80000,-489.2352
143,81000,-568.8303
145,82000,-853.9537
147,83000,-1119.7391
148,84000,-519.1757
150,85000,-991.8025
152,86000,-441.6168
153,87000,-773.4231
155,88000,-624.0287
156,89000,-952.3796
158,90000,-446.3597
160,91000,-518.7115
162,92000,-327.5067
163,93000,-294.3303
165,94000,-356.3825
166,95000,-290.4966
168,96000,-626.6336
169,97000,-861.3058
172,98000,-1585.2556
173,99000,-1593.9162
175,100000,-1112.7355
