episode,timestep,reward
2,2000,-2627.7185
4,4000,-2238.6414
7,6000,-2407.0859
9,8000,-2181.6558
11,10000,-1883.9535
13,12000,-2887.7323
16,14000,-2315.399
18,16000,-2649.8063
20,18000,-3112.6792
22,20000,-2802.5149
25,22000,-3574.2564
27,24000,-2438.6645
29,26000,-2954.1587
32,28000,-3619.5095
34,30000,-2788.0903
37,32000,-2954.9346
39,34000,-3631.5122
41,36000,-2731.1753
44,38000,-3067.423
46,40000,-3203.7039
48,42000,-3124.7122
51,44000,-4070.2383
53,46000,-2485.6748
56,48000,-2360.0954
58,50000,-2842.6899
60,52000,-2258.0961
62,54000,-3158.177
65,56000,-3066.8959
67,58000,-2830.8913
70,60000,-4357.8923
72,62000,-3009.2257
74,64000,-2525.6601
76,66000,-2911.6645
79,68000,-1749.2848
81,70000,-3930.3103
84,72000,-2942.6399
86,74000,-2134.7176
89,76000,-2898.4907
91,78000,-3923.2746
