episode,timestep,reward
1,1000,-837.3354
3,2000,-1019.0112
5,3000,-886.9024
7,4000,-863.2674
9,5000,-683.8243
11,6000,-649.6841
13,7000,-512.1691
14,8000,-925.664
16,9000,-1024.3395
18,10000,-776.6995
19,11000,-754.81
21,12000,-1430.6523
23,13000,-582.4812
24,14000,-306.9087
26,15000,-789.0487
28,16000,-1219.3348
30,17000,-1112.6476
32,18000,-859.0392
33,19000,-976.144
35,20000,-2008.099
36,21000,-1896.4701
38,22000,-1180.3669
40,23000,-1203.0627
41,24000,-645.3974
43,25000,-997.6297
45,26000,-1548.8142
47,27000,-1539.632
49,28000,-1189.2659
51,29000,-1488.5021
53,30000,-885.4021
55,31000,-777.1565
56,32000,-550.0959
58,33000,-1757.7269
60,34000,-1566.2096
61,35000,-1542.4324
63,36000,-1142.6997
65,37000,-960.6992
67,38000,-1411.0541
69,39000,-778.0972
71,40000,-1404.2629
72,41000,-1139.7962
74,42000,-1543.8919
75,43000,-1146.8044
77,44000,-1062.8511
79,45000,-1299.0588
81,46000,-1338.8006
82,47000,-1434.2666
84,48000,-1223.1676
86,49000,-885.3655
87,50000,-1447.9044
