episode,timestep,reward
1,1000,-416.1759
3,2000,-942.6375
5,3000,-704.3985
7,4000,-486.5352
9,5000,-577.0707
10,6000,-932.5977
12,7000,-949.7832
14,8000,-1047.6898
16,9000,-850.8019
17,10000,-707.337
19,11000,-866.8849
21,12000,-908.5305
22,13000,-977.7574
24,14000,-570.0087
26,15000,-1632.47
28,16000,-1815.5239
29,17000,-1452.9726
31,18000,-1624.3785
33,19000,-1203.1464
34,20000,-1375.7445
36,21000,-900.3052
38,22000,-985.1828
39,23000,-715.2685
41,24000,-902.5191
43,25000,-902.7054
45,26000,-542.9335
47,27000,-307.7312
48,28000,-397.8397
50,29000,-543.4804
52,30000,-450.3973
53,31000,-399.7615
55,32000,-378.6208
57,33000,-393.0368
58,34000,-233.6343
60,35000,-388.6758
62,36000,-296.3369
64,37000,-287.9324
65,38000,-472.6244
67,39000,-278.8044
69,40000,-238.0661
71,41000,-363.5241
73,42000,-313.0751
75,43000,-312.5435
77,44000,-289.0601
78,45000,-408.9179
80,46000,-324.9221
82,47000,-291.0829
84,48000,-283.3733
86,49000,-286.4771
87,50000,-413.6286
89,51000,-276.3469
91,52000,-276.0406
93,53000,-271.3035
95,54000,-288.2025
97,55000,-339.2274
98,56000,-385.5529
100,57000,-548.8663
102,58000,-328.9846
103,59000,-273.7181
105,60000,-414.1198
107,61000,-214.3503
108,62000,-655.1649
110,63000,-273.0412
112,64000,-290.8613
114,65000,-366.6885
116,66000,-242.2948
118,67000,-319.2853
119,68000,-293.687
121,69000,-235.3155
123,70000,-247.3713
125,71000,-347.3049
127,72000,-338.9031
128,73000,-456.4271
130,74000,-323.8175
132,75000,-269.5009
133,76000,-444.817
135,77000,-310.9609
137,78000,-397.7215
139,79000,-303.4303
140,80000,-275.3242
142,81000,-295.7859
144,82000,-342.0274
146,83000,-279.1047
148,84000,-236.5491
150,85000,-288.2298
151,86000,-240.2131
153,87000,-360.3397
155,88000,-317.478
157,89000,-319.1438
159,90000,-302.6761
160,91000,-262.2323
162,92000,-527.4733
163,93000,-500.4783
165,94000,-360.1194
167,95000,-315.8925
169,96000,-274.6543
170,97000,-405.3933
172,98000,-363.5874
174,99000,-284.8051
176,100000,-325.0602
