episode,timestep,reward
1,1000,-490.0616
3,2000,-313.4809
5,3000,-685.171
7,4000,-622.6337
9,5000,-504.9728
10,6000,-1040.6035
12,7000,-1699.4801
14,8000,-1998.5657
16,9000,-1603.1332
18,10000,-1666.7458
19,11000,-564.4819
21,12000,-544.7903
23,13000,-922.5865
25,14000,-625.9467
27,15000,-487.9268
29,16000,-568.0121
32,17000,-584.2957
35,18000,-510.1424
37,19000,-745.6357
40,20000,-644.6741
42,21000,-426.818
44,22000,-426.8256
46,23000,-340.8681
47,24000,-466.7589
49,25000,-448.0373
52,26000,-565.1781
54,27000,-480.822
57,28000,-722.6458
59,29000,-451.7711
62,30000,-688.2518
65,31000,-331.8481
68,32000,-580.856
71,33000,-507.6914
74,34000,-739.0146
76,35000,-538.4193
79,36000,-542.5363
81,37000,-647.5688
83,38000,-304.2897
87,39000,-534.8936
89,40000,-688.604
90,41000,-410.8315
92,42000,-1164.1099
94,43000,-314.767
95,44000,-441.0802
97,45000,-318.1185
99,46000,-226.9309
101,47000,-499.7427
103,48000,-519.8583
104,49000,-219.1187
106,50000,-547.6608
109,51000,-815.5528
112,52000,-588.6524
116,53000,-676.5137
119,54000,-657.9386
123,55000,-562.7824
126,56000,-699.0857
128,57000,-977.3229
132,58000,-660.6323
135,59000,-669.8938
138,60000,-642.7566
140,61000,-477.0861
144,62000,-689.8265
147,63000,-681.7545
149,64000,-702.9209
152,65000,-811.1759
155,66000,-672.3591
158,67000,-689.0192
162,68000,-652.4444
165,69000,-666.3446
168,70000,-724.5748
171,71000,-649.0009
173,72000,-781.7829
176,73000,-705.9004
179,74000,-712.9704
182,75000,-828.7754
