agents,mean_completion_time,mean_power_consumption,mean_stored_in_edge,mean_stored_in_cloud,avg_execution_time_sec,avg_congestion_occurrences,avg_collocated_ratio,avg_parallelism_ratio
1,119,44.81856224,0.441372363,0.558627637,0.860899222,0,0.726359274,4.417299622
2,117,49.38569457,0.495446004,0.504553996,1.909835303,12.85,0.714016338,4.438841352
3,139,59.4656572,0.516777271,0.483222729,2.894357693,13.25,0.694114108,4.4259961
4,132,67.86523529,0.512722893,0.487277107,2.548955691,24.7,0.704750351,4.865007736
5,141,87.44028783,0.510371424,0.489628576,2.83874017,42.45,0.69973876,5.239616894
