agents,mean_completion_time,mean_power_consumption,mean_stored_in_edge,mean_stored_in_cloud,avg_execution_time_sec,avg_congestion_occurrences,avg_collocated_ratio,avg_parallelism_ratio
1,93,22.53070817,0.997856919,0.002143081,3.509174252,0,0.800397436,4.45720191
2,92,21.52619544,0.999223858,0.000776142,7.22261976,0,0.811084692,4.15477182
3,93,23.16843721,0.99641453,0.00358547,10.67507488,0,0.789124607,4.25949239
4,81,22.39839562,0.999969174,3.08E-05,10.28553478,0,0.838282077,4.591987132
5,74,21.74095016,0.999961059,3.89E-05,9.503037918,0,0.88341056,4.967011753
